
        For lse-f-91.crs and lse-f-91.stu

Shift = 17	Min clashes = 94	at step 1
1	14	0
2	4	2
3	16	0
4	3	0
5	1	0
6	4	1
7	10	0
8	12	3
9	7	1
10	8	0
11	9	0
12	9	0
13	1	0
14	16	0
15	3	0
16	4	0
17	5	0
18	11	0
19	3	0
20	13	0
21	9	0
22	8	0
23	9	0
24	12	0
25	2	1
26	2	1
27	2	1
28	8	0
29	8	0
30	5	2
31	9	0
32	5	1
33	16	0
34	15	2
35	10	0
36	1	0
37	3	0
38	6	0
39	13	0
40	0	0
41	2	3
42	4	1
43	10	0
44	7	0
45	15	1
46	11	0
47	5	0
48	13	0
49	15	1
50	16	0
51	6	0
52	13	0
53	13	0
54	1	0
55	1	0
56	8	0
57	3	0
58	5	1
59	13	1
60	15	0
61	7	0
62	10	0
63	4	1
64	0	0
65	15	0
66	9	0
67	6	0
68	12	0
69	14	0
70	10	0
71	10	0
72	10	0
73	3	1
74	14	0
75	15	0
76	12	0
77	16	0
78	11	0
79	3	0
80	8	0
81	11	0
82	14	0
83	8	0
84	3	0
85	13	1
86	13	1
87	11	0
88	8	0
89	6	0
90	0	0
91	16	0
92	7	0
93	6	0
94	1	0
95	5	0
96	7	1
97	4	0
98	7	0
99	4	0
100	14	0
101	12	1
102	3	0
103	5	0
104	15	1
105	11	0
106	1	0
107	16	0
108	2	0
109	12	1
110	13	0
111	6	0
112	11	0
113	1	0
114	13	0
115	13	0
116	8	0
117	10	0
118	5	0
119	0	0
120	10	0
121	3	0
122	2	0
123	6	0
124	1	0
125	10	0
126	5	0
127	12	1
128	12	0
129	10	0
130	10	0
131	0	0
132	0	0
133	4	1
134	14	0
135	12	1
136	3	1
137	6	0
138	2	0
139	14	0
140	14	0
141	16	0
142	7	1
143	1	0
144	2	0
145	11	0
146	13	3
147	10	1
148	4	0
149	1	0
150	14	0
151	7	0
152	6	0
153	9	0
154	9	0
155	5	0
156	8	0
157	7	0
158	16	0
159	3	0
160	5	0
161	4	0
162	12	1
163	2	0
164	5	0
165	3	0
166	5	0
167	6	0
168	0	0
169	1	0
170	2	0
171	7	0
172	14	0
173	10	0
174	10	0
175	1	0
176	16	0
177	3	0
178	6	0
179	9	0
180	6	0
181	14	0
182	12	0
183	2	0
184	10	0
185	6	0
186	0	1
187	6	0
188	2	0
189	0	0
190	0	0
191	7	1
192	9	0
193	13	0
194	6	0
195	8	0
196	9	0
197	5	0
198	3	2
199	2	0
200	0	1
201	12	2
202	16	0
203	7	0
204	6	0
205	8	0
206	10	1
207	4	0
208	2	0
209	0	0
210	5	0
211	15	0
212	13	0
213	3	0
214	2	0
215	1	0
216	3	0
217	1	0
218	3	0
219	8	0
220	7	1
221	6	0
222	14	0
223	1	0
224	13	0
225	16	0
226	13	0
227	0	0
228	7	0
229	12	3
230	15	0
231	7	2
232	12	0
233	4	0
234	15	0
235	2	0
236	5	0
237	6	0
238	6	0
239	10	0
240	4	0
241	11	0
242	16	0
243	8	0
244	3	0
245	4	0
246	1	0
247	9	0
248	2	0
249	1	0
250	0	0
251	14	0
252	1	0
253	9	0
254	3	0
255	10	0
256	0	0
257	4	1
258	0	0
259	16	0
260	11	0
261	10	0
262	10	0
263	9	0
264	11	0
265	10	0
266	12	0
267	9	0
268	12	2
269	2	0
270	4	1
271	16	0
272	8	0
273	3	0
274	1	0
275	5	0
276	6	0
277	1	0
278	14	0
279	7	0
280	5	0
281	0	0
282	12	4
283	16	0
284	3	0
285	10	0
286	13	0
287	4	1
288	9	0
289	15	2
290	13	0
291	7	1
292	15	0
293	10	0
294	16	0
295	2	0
296	8	0
297	16	0
298	10	0
299	3	0
300	5	0
301	9	0
302	5	0
303	10	0
304	13	0
305	0	0
306	12	1
307	14	0
308	10	0
309	1	0
310	12	0
311	3	0
312	9	0
313	1	0
314	4	0
315	8	0
316	0	0
317	2	0
318	8	0
319	11	0
320	15	3
321	16	0
322	13	0
323	15	4
324	5	0
325	1	0
326	7	0
327	1	0
328	11	0
329	3	0
330	2	0
331	13	0
332	6	0
333	10	0
334	9	0
335	4	6
336	7	1
337	11	0
338	2	0
339	4	0
340	13	0
341	4	1
342	7	0
343	3	0
344	1	0
345	16	0
346	7	0
347	2	0
348	13	0
349	1	0
350	6	0
351	0	0
352	12	2
353	13	0
354	9	0
355	1	0
356	5	0
357	8	0
358	3	0
359	16	0
360	6	0
361	10	0
362	10	0
363	11	0
364	5	0
365	6	0
366	7	5
367	3	0
368	2	0
369	14	0
370	5	0
371	11	0
372	7	0
373	10	0
374	7	0
375	5	0
376	0	0
377	1	0
378	1	0
379	8	0
380	10	0
381	10	0




        For tre-s-92.crs and tre-s-92.stu


Shift = 10	Min clashes = 188	at step 9
Exam	Slot	Clashes
1	1	0
2	2	0
3	3	0
4	1	0
5	4	0
6	5	0
7	6	0
8	2	0
9	3	0
10	7	0
11	2	0
12	1	0
13	3	0
14	4	0
15	5	0
16	1	0
17	2	0
18	6	0
19	7	0
20	1	0
21	2	0
22	2	0
23	3	0
24	0	0
25	6	0
26	1	0
27	3	0
28	1	0
29	3	0
30	7	0
31	1	0
32	2	0
33	4	0
34	6	0
35	5	0
36	6	0
37	8	0
38	8	0
39	3	0
40	2	0
41	6	0
42	1	0
43	2	0
44	4	0
45	2	0
46	5	0
47	3	0
48	1	0
49	5	0
50	5	0
51	9	0
52	4	0
53	9	0
54	2	0
55	11	0
56	1	0
57	3	0
58	2	0
59	7	0
60	1	0
61	0	0
62	0	0
63	12	0
64	9	0
65	4	0
66	2	0
67	3	0
68	8	0
69	6	0
70	3	0
71	2	0
72	13	0
73	5	0
74	6	0
75	1	0
76	3	0
77	2	0
78	4	0
79	1	0
80	4	0
81	6	0
82	7	0
83	9	0
84	11	0
85	3	0
86	8	0
87	12	0
88	14	0
89	1	0
90	2	0
91	5	0
92	15	0
93	16	0
94	12	0
95	11	0
96	8	0
97	3	0
98	3	0
99	9	0
100	12	0
101	7	0
102	4	0
103	14	0
104	8	0
105	6	0
106	11	0
107	13	0
108	17	0
109	16	0
110	17	0
111	15	0
112	6	0
113	11	0
114	12	0
115	14	0
116	16	0
117	14	0
118	4	0
119	4	0
120	17	0
121	6	0
122	6	0
123	13	0
124	1	0
125	3	0
126	4	0
127	15	0
128	8	0
129	9	0
130	7	0
131	1	0
132	11	0
133	8	0
134	3	0
135	1	0
136	4	0
137	2	0
138	3	0
139	15	0
140	12	0
141	1	0
142	9	0
143	12	0
144	18	0
145	1	0
146	5	0
147	2	0
148	3	0
149	4	0
150	6	0
151	8	0
152	0	0
153	18	0
154	16	0
155	18	0
156	19	0
157	4	0
158	9	0
159	0	3
160	12	0
161	15	0
162	2	0
163	4	0
164	1	0
165	11	0
166	1	0
167	0	10
168	0	12
169	2	0
170	13	0
171	15	0
172	1	0
173	17	0
174	19	0
175	0	5
176	15	0
177	1	0
178	1	0
179	2	0
180	0	5
181	2	0
182	6	0
183	8	0
184	0	5
185	1	0
186	0	0
187	0	7
188	0	12
189	13	0
190	18	0
191	2	0
192	0	6
193	7	0
194	14	0
195	1	0
196	8	0
197	2	0
198	1	0
199	6	0
200	2	0
201	0	8
202	5	0
203	0	8
204	0	10
205	12	0
206	14	0
207	7	0
208	4	0
209	1	0
210	0	8
211	13	0
212	16	0
213	5	0
214	0	12
215	0	9
216	0	7
217	12	0
218	17	0
219	0	7
220	10	9
221	10	5
222	2	0
223	8	0
224	11	0
225	1	0
226	10	6
227	14	0
228	3	0
229	13	0
230	10	5
231	18	0
232	2	0
233	18	0
234	10	3
235	2	0
236	3	0
237	5	0
238	2	0
239	7	0
240	3	0
241	4	0
242	5	0
243	6	0
244	0	0
245	10	4
246	10	5
247	10	6
248	12	0
249	4	0
250	15	0
251	1	0
252	6	0
253	10	7
254	8	0
255	18	0
256	10	8
257	8	0
258	11	0
259	0	0
260	10	8
261	4	0


Shift = 20	Min clashes = 304	at step 1
Exam	Slot	Clashes
1	1	0
2	2	0
3	3	0
4	1	0
5	4	0
6	5	0
7	6	0
8	2	0
9	3	0
10	7	0
11	2	0
12	1	0
13	3	0
14	4	0
15	5	0
16	1	0
17	2	0
18	6	0
19	7	0
20	1	0
21	2	0
22	2	0
23	3	0
24	0	0
25	6	0
26	1	0
27	3	0
28	1	0
29	3	0
30	7	0
31	1	0
32	2	0
33	4	0
34	6	0
35	5	0
36	6	0
37	8	0
38	8	0
39	3	0
40	2	0
41	6	0
42	1	0
43	2	0
44	4	0
45	2	0
46	5	0
47	3	0
48	1	0
49	5	0
50	5	0
51	9	0
52	4	0
53	9	0
54	2	0
55	10	0
56	1	0
57	3	0
58	2	0
59	7	0
60	1	0
61	0	0
62	0	0
63	11	0
64	9	0
65	4	0
66	2	0
67	3	0
68	8	0
69	6	0
70	3	0
71	2	0
72	12	0
73	5	0
74	6	0
75	1	0
76	3	0
77	2	0
78	4	0
79	1	0
80	4	0
81	6	0
82	7	0
83	9	0
84	10	0
85	3	0
86	8	0
87	11	0
88	13	0
89	1	0
90	2	0
91	5	0
92	14	0
93	15	0
94	11	0
95	10	0
96	8	0
97	3	0
98	3	0
99	9	0
100	11	0
101	7	0
102	4	0
103	13	0
104	8	0
105	6	0
106	10	0
107	12	0
108	16	0
109	15	0
110	16	0
111	14	0
112	6	0
113	10	0
114	11	0
115	13	0
116	15	0
117	13	0
118	4	0
119	4	0
120	16	0
121	6	0
122	6	0
123	12	0
124	1	0
125	3	0
126	4	0
127	14	0
128	8	0
129	9	0
130	7	0
131	1	0
132	10	0
133	8	0
134	3	0
135	1	0
136	4	0
137	2	0
138	3	0
139	14	0
140	11	0
141	1	0
142	9	0
143	11	0
144	17	0
145	1	0
146	5	0
147	2	0
148	3	0
149	4	0
150	6	0
151	8	0
152	0	0
153	17	0
154	15	0
155	17	0
156	18	0
157	4	0
158	9	0
159	19	0
160	11	0
161	14	0
162	2	0
163	4	0
164	1	0
165	10	0
166	1	0
167	19	0
168	0	15
169	2	0
170	12	0
171	14	0
172	1	0
173	16	0
174	18	0
175	19	0
176	14	0
177	1	0
178	1	0
179	2	0
180	0	7
181	2	0
182	6	0
183	8	0
184	19	0
185	1	0
186	0	0
187	0	10
188	0	17
189	12	0
190	17	0
191	2	0
192	0	11
193	7	0
194	13	0
195	1	0
196	8	0
197	2	0
198	1	0
199	6	0
200	2	0
201	0	11
202	5	0
203	0	14
204	0	15
205	11	0
206	13	0
207	7	0
208	4	0
209	1	0
210	0	12
211	12	0
212	15	0
213	5	0
214	0	17
215	0	13
216	0	14
217	11	0
218	16	0
219	0	12
220	0	20
221	19	0
222	2	0
223	8	0
224	10	0
225	1	0
226	0	11
227	13	0
228	3	0
229	12	0
230	0	6
231	17	0
232	2	0
233	17	0
234	0	10
235	2	0
236	3	0
237	5	0
238	2	0
239	7	0
240	3	0
241	4	0
242	5	0
243	6	0
244	0	0
245	0	12
246	0	17
247	0	13
248	11	0
249	4	0
250	14	0
251	1	0
252	6	0
253	0	11
254	8	0
255	17	0
256	0	18
257	8	0
258	10	0
259	0	0
260	0	18
261	4	0


Shift = 15	Min clashes = 170	at step 7
Exam	Slot	Clashes
1	1	0
2	2	0
3	3	0
4	1	0
5	4	0
6	10	1
7	6	0
8	2	0
9	3	0
10	7	0
11	2	0
12	1	0
13	3	0
14	4	0
15	19	0
16	1	0
17	2	0
18	6	0
19	7	0
20	1	0
21	2	0
22	2	0
23	3	0
24	0	0
25	6	0
26	1	0
27	3	0
28	1	0
29	3	0
30	7	0
31	1	0
32	2	0
33	4	0
34	6	0
35	13	0
36	6	0
37	8	0
38	8	0
39	3	0
40	2	0
41	6	0
42	1	0
43	2	0
44	4	0
45	2	0
46	15	4
47	3	0
48	1	0
49	17	0
50	15	4
51	9	0
52	4	0
53	9	0
54	2	0
55	10	3
56	1	0
57	3	0
58	2	0
59	7	0
60	1	0
61	0	0
62	0	0
63	11	0
64	9	0
65	4	0
66	2	0
67	3	0
68	8	0
69	6	0
70	3	0
71	2	0
72	12	0
73	10	5
74	6	0
75	1	0
76	3	0
77	2	0
78	4	0
79	1	0
80	4	0
81	6	0
82	7	0
83	9	0
84	15	2
85	3	0
86	8	0
87	11	0
88	13	0
89	1	0
90	2	0
91	6	0
92	14	0
93	16	0
94	11	0
95	15	5
96	8	0
97	3	0
98	3	0
99	9	0
100	11	0
101	7	0
102	4	0
103	13	0
104	8	0
105	6	0
106	14	0
107	12	0
108	17	0
109	16	0
110	17	0
111	14	0
112	6	0
113	19	0
114	11	0
115	13	0
116	16	0
117	13	0
118	4	0
119	4	0
120	17	0
121	6	0
122	6	0
123	12	0
124	1	0
125	3	0
126	4	0
127	14	0
128	8	0
129	9	0
130	7	0
131	1	0
132	14	0
133	8	0
134	3	0
135	1	0
136	4	0
137	2	0
138	3	0
139	14	0
140	11	0
141	1	0
142	9	0
143	11	0
144	18	0
145	1	0
146	5	0
147	2	0
148	3	0
149	4	0
150	6	0
151	8	0
152	0	0
153	18	0
154	16	0
155	18	0
156	19	0
157	4	0
158	9	0
159	5	0
160	11	0
161	14	0
162	2	0
163	4	0
164	1	0
165	0	4
166	1	0
167	5	0
168	15	4
169	2	0
170	12	0
171	14	0
172	1	0
173	17	0
174	19	0
175	10	3
176	14	0
177	1	0
178	1	0
179	2	0
180	10	2
181	2	0
182	6	0
183	8	0
184	10	2
185	1	0
186	0	0
187	15	3
188	15	6
189	12	0
190	18	0
191	2	0
192	0	8
193	7	0
194	13	0
195	1	0
196	8	0
197	2	0
198	1	0
199	6	0
200	2	0
201	10	0
202	14	0
203	15	6
204	0	9
205	11	0
206	13	0
207	7	0
208	4	0
209	1	0
210	0	8
211	12	0
212	16	0
213	6	0
214	0	11
215	0	8
216	0	10
217	11	0
218	17	0
219	10	1
220	0	15
221	5	0
222	2	0
223	8	0
224	10	1
225	1	0
226	0	9
227	13	0
228	3	0
229	12	0
230	0	6
231	18	0
232	2	0
233	18	0
234	0	6
235	2	0
236	3	0
237	11	0
238	2	0
239	7	0
240	3	0
241	4	0
242	5	0
243	6	0
244	0	0
245	0	8
246	0	11
247	0	9
248	11	0
249	4	0
250	14	0
251	1	0
252	6	0
253	0	9
254	8	0
255	18	0
256	0	14
257	8	0
258	18	0
259	1	0
260	0	13
261	4	0


Shift = 17	Min clashes = 112	at step 641
Exam	Slot	Clashes
1	11	0
2	10	1
3	18	1
4	0	0
5	7	0
6	18	1
7	1	0
8	3	1
9	13	0
10	19	0
11	16	0
12	5	2
13	17	0
14	6	1
15	18	3
16	5	0
17	10	0
18	7	0
19	18	1
20	5	0
21	17	0
22	12	1
23	15	1
24	6	0
25	2	0
26	15	0
27	9	0
28	11	0
29	5	2
30	4	1
31	10	0
32	3	1
33	16	1
34	11	0
35	2	0
36	12	0
37	17	0
38	16	1
39	14	1
40	15	1
41	15	0
42	7	1
43	3	2
44	7	1
45	3	1
46	12	0
47	18	0
48	15	0
49	19	0
50	10	3
51	0	0
52	3	2
53	12	2
54	1	0
55	0	0
56	2	1
57	14	0
58	1	0
59	8	1
60	12	0
61	0	0
62	2	0
63	17	1
64	6	0
65	19	2
66	10	0
67	18	0
68	2	1
69	13	0
70	14	0
71	15	1
72	8	1
73	3	1
74	2	1
75	19	2
76	18	0
77	16	0
78	7	0
79	11	1
80	3	2
81	2	1
82	2	1
83	5	2
84	19	1
85	3	1
86	12	0
87	13	1
88	4	0
89	10	0
90	3	1
91	19	0
92	15	1
93	11	0
94	17	0
95	15	2
96	5	1
97	8	1
98	8	1
99	17	1
100	14	0
101	10	2
102	1	0
103	0	1
104	11	1
105	13	2
106	18	1
107	6	0
108	19	1
109	11	2
110	13	1
111	1	0
112	19	1
113	5	0
114	15	2
115	14	3
116	18	1
117	6	2
118	18	0
119	17	0
120	0	0
121	0	0
122	19	1
123	14	3
124	9	2
125	16	0
126	15	0
127	1	1
128	3	0
129	1	2
130	14	2
131	19	0
132	8	0
133	4	1
134	14	0
135	3	0
136	11	0
137	19	0
138	6	0
139	6	2
140	14	2
141	11	0
142	8	1
143	14	2
144	3	3
145	13	0
146	1	0
147	15	0
148	0	0
149	16	0
150	6	1
151	4	1
152	15	0
153	18	0
154	9	1
155	14	1
156	9	1
157	13	1
158	17	0
159	7	1
160	1	1
161	5	0
162	6	0
163	0	1
164	4	0
165	3	0
166	3	1
167	5	3
168	13	2
169	11	0
170	14	0
171	16	0
172	0	0
173	1	1
174	19	1
175	3	3
176	9	0
177	18	0
178	1	0
179	3	0
180	5	0
181	15	0
182	9	1
183	16	0
184	19	1
185	13	0
186	0	0
187	12	1
188	3	2
189	8	1
190	15	0
191	9	1
192	3	3
193	19	6
194	1	2
195	19	0
196	2	1
197	16	0
198	15	0
199	18	0
200	3	0
201	1	3
202	17	0
203	4	1
204	3	4
205	12	1
206	17	0
207	5	0
208	2	0
209	4	0
210	6	0
211	16	0
212	8	0
213	9	0
214	4	4
215	7	1
216	7	1
217	17	0
218	8	2
219	12	1
220	7	3
221	17	0
222	6	0
223	16	0
224	3	0
225	11	0
226	2	1
227	4	0
228	0	0
229	10	0
230	12	0
231	1	0
232	6	0
233	12	1
234	13	0
235	17	0
236	2	0
237	10	0
238	7	0
239	19	0
240	12	0
241	13	0
242	1	0
243	4	0
244	1	0
245	5	4
246	12	3
247	1	0
248	3	2
249	6	1
250	14	0
251	16	0
252	0	0
253	2	3
254	6	1
255	6	2
256	10	1
257	11	0
258	10	1
259	0	0
260	13	3
261	14	0



After network implementation and training results changed. There are both progress and regress.
For example, for lse-f-91 file the minimum clashes for shift = 17 changed from 94 to 89, on the other hand for shift = 16
it changed to 50 from 34.

For tre-s-92 file the minimum clashes for shift = 10 decreased to 162 from 188, while for shift = 15 it remained the same.

